cluster_id,election_id,election_year,party_group_id,unweighted_mean_second_vote_share_percent
cluster_1,BTW2017,2017,party_group_afd,20.7328125000
cluster_1,BTW2017,2017,party_group_cdu_csu,30.5484375000
cluster_1,BTW2017,2017,party_group_fdp,7.6031250000
cluster_1,BTW2017,2017,party_group_greens,4.0593750000
cluster_1,BTW2017,2017,party_group_left,14.4390625000
cluster_1,BTW2017,2017,party_group_spd,17.2500000000
cluster_1,BTW2021,2021,party_group_afd,20.9625000000
cluster_1,BTW2021,2021,party_group_cdu_csu,19.3609375000
cluster_1,BTW2021,2021,party_group_fdp,9.4203125000
cluster_1,BTW2021,2021,party_group_greens,6.5875000000
cluster_1,BTW2021,2021,party_group_left,8.2093750000
cluster_1,BTW2021,2021,party_group_spd,27.1468750000
cluster_1,BTW2025,2025,party_group_afd,36.6187500000
cluster_1,BTW2025,2025,party_group_cdu_csu,20.5421875000
cluster_1,BTW2025,2025,party_group_fdp,3.1515625000
cluster_1,BTW2025,2025,party_group_greens,4.5750000000
cluster_1,BTW2025,2025,party_group_left,9.8031250000
cluster_1,BTW2025,2025,party_group_spd,12.7187500000
cluster_2,BTW2017,2017,party_group_afd,11.8482905983
cluster_2,BTW2017,2017,party_group_cdu_csu,37.4636752137
cluster_2,BTW2017,2017,party_group_fdp,10.6311965812
cluster_2,BTW2017,2017,party_group_greens,8.2675213675
cluster_2,BTW2017,2017,party_group_left,6.4649572650
cluster_2,BTW2017,2017,party_group_spd,20.1807692308
cluster_2,BTW2021,2021,party_group_afd,9.6465811966
cluster_2,BTW2021,2021,party_group_cdu_csu,28.2388888889
cluster_2,BTW2021,2021,party_group_fdp,11.6414529915
cluster_2,BTW2021,2021,party_group_greens,12.6589519651
cluster_2,BTW2021,2021,party_group_left,3.1294871795
cluster_2,BTW2021,2021,party_group_spd,24.8282051282
cluster_2,BTW2025,2025,party_group_afd,20.7974358974
cluster_2,BTW2025,2025,party_group_cdu_csu,33.7581196581
cluster_2,BTW2025,2025,party_group_fdp,4.3769230769
cluster_2,BTW2025,2025,party_group_greens,9.9217948718
cluster_2,BTW2025,2025,party_group_left,6.0055555556
cluster_2,BTW2025,2025,party_group_spd,15.6294871795
cluster_3,BTW2017,2017,party_group_afd,12.8910447761
cluster_3,BTW2017,2017,party_group_cdu_csu,28.2731343284
cluster_3,BTW2017,2017,party_group_fdp,9.9164179104
cluster_3,BTW2017,2017,party_group_greens,8.6492537313
cluster_3,BTW2017,2017,party_group_left,11.4985074627
cluster_3,BTW2017,2017,party_group_spd,23.7223880597
cluster_3,BTW2021,2021,party_group_afd,10.2283582090
cluster_3,BTW2021,2021,party_group_cdu_csu,19.9567164179
cluster_3,BTW2021,2021,party_group_fdp,10.3373134328
cluster_3,BTW2021,2021,party_group_greens,16.0242424242
cluster_3,BTW2021,2021,party_group_left,6.2686567164
cluster_3,BTW2021,2021,party_group_spd,29.1358208955
cluster_3,BTW2025,2025,party_group_afd,20.5522388060
cluster_3,BTW2025,2025,party_group_cdu_csu,23.4910447761
cluster_3,BTW2025,2025,party_group_fdp,3.8567164179
cluster_3,BTW2025,2025,party_group_greens,11.8059701493
cluster_3,BTW2025,2025,party_group_left,11.4925373134
cluster_3,BTW2025,2025,party_group_spd,18.8552238806
cluster_4,BTW2017,2017,party_group_afd,11.0457142857
cluster_4,BTW2017,2017,party_group_cdu_csu,31.2228571429
cluster_4,BTW2017,2017,party_group_fdp,11.6428571429
cluster_4,BTW2017,2017,party_group_greens,13.2457142857
cluster_4,BTW2017,2017,party_group_left,8.9257142857
cluster_4,BTW2017,2017,party_group_spd,18.3428571429
cluster_4,BTW2021,2021,party_group_afd,7.5485714286
cluster_4,BTW2021,2021,party_group_cdu_csu,23.6657142857
cluster_4,BTW2021,2021,party_group_fdp,11.9942857143
cluster_4,BTW2021,2021,party_group_greens,21.1571428571
cluster_4,BTW2021,2021,party_group_left,4.6971428571
cluster_4,BTW2021,2021,party_group_spd,21.8885714286
cluster_4,BTW2025,2025,party_group_afd,15.4514285714
cluster_4,BTW2025,2025,party_group_cdu_csu,28.1114285714
cluster_4,BTW2025,2025,party_group_fdp,4.8571428571
cluster_4,BTW2025,2025,party_group_greens,17.5657142857
cluster_4,BTW2025,2025,party_group_left,10.0085714286
cluster_4,BTW2025,2025,party_group_spd,15.5400000000
