cluster_id,feature_id,mean_z_score,mean_raw_value
cluster_1,population_density,-0.9649573985,107.7968750000
cluster_2,population_density,-0.3292906708,252.2927350427
cluster_3,population_density,1.2961071299,1371.9880597015
cluster_4,population_density,1.4849175074,1675.3742857143
cluster_1,population_change_per_10000,-1.1569094426,-67.3453125000
cluster_2,population_change_per_10000,0.0786832815,11.5517094017
cluster_3,population_change_per_10000,0.0631008671,10.5567164179
cluster_4,population_change_per_10000,1.4686445249,100.3057142857
cluster_1,foreign_population_share,-1.1343764584,6.6718750000
cluster_2,foreign_population_share,-0.1673010673,12.1670940171
cluster_3,foreign_population_share,0.8310970738,17.8402985075
cluster_4,foreign_population_share,1.6018582610,22.2200000000
cluster_1,migration_balance_per_10000,-0.3279905006,37.4593750000
cluster_2,migration_balance_per_10000,-0.0550766162,47.6636752137
cluster_3,migration_balance_per_10000,0.1516716240,55.3940298507
cluster_4,migration_balance_per_10000,0.6776377551,75.0600000000
cluster_1,age_under_18_share,-1.1419815703,15.1843750000
cluster_2,age_under_18_share,0.4499513953,17.1222222222
cluster_3,age_under_18_share,-0.2524750244,16.2671641791
cluster_4,age_under_18_share,-0.4367422677,16.0428571429
cluster_1,age_65_plus_share,1.6488212629,29.1250000000
cluster_2,age_65_plus_share,-0.1495096853,23.3119658120
cluster_3,age_65_plus_share,-0.4187085518,22.4417910448
cluster_4,age_65_plus_share,-1.2138806141,19.8714285714
cluster_1,workplace_density,-0.3777475389,760.8734375000
cluster_2,workplace_density,-0.3818551757,767.2307692308
cluster_3,workplace_density,0.6918915220,988.7955223881
cluster_4,workplace_density,1.9192349039,1295.3028571429
cluster_1,manufacturing_employment_share,0.0405909365,18.9125000000
cluster_2,manufacturing_employment_share,0.2611577962,20.8021367521
cluster_3,manufacturing_employment_share,-0.7518071059,12.1238805970
cluster_4,manufacturing_employment_share,-0.3810762330,15.3000000000
cluster_1,unemployment_rate,0.4667394726,6.8671875000
cluster_2,unemployment_rate,-0.5520445003,4.5961538462
cluster_3,unemployment_rate,1.4081178654,8.9656716418
cluster_4,unemployment_rate,0.1418054243,6.1428571429
cluster_1,disposable_income_per_capita,-0.6945977387,23813.3906250000
cluster_2,disposable_income_per_capita,0.4339288111,26766.0128205128
cluster_3,disposable_income_per_capita,-1.0528108840,22876.1791044776
cluster_4,disposable_income_per_capita,0.3843783630,26636.3714285714
cluster_1,gdp_per_capita,-0.7624202407,34085.9062500000
cluster_2,gdp_per_capita,-0.2483232359,41016.5256410256
cluster_3,gdp_per_capita,0.5149013660,52806.8805970149
cluster_4,gdp_per_capita,2.0686897456,88297.4000000000
