party_id,party_name,first_election_year,last_election_year,election_count,party_color_hex,party_display_order,is_report_focus
party_50plus,50Plus,2005,2005,1,#8C8C8C,99,False
party_ad_demokraten,AD-DEMOKRATEN,2017,2017,1,#8C8C8C,99,False
party_adm,ADM,2009,2009,1,#8C8C8C,99,False
party_afd,AfD,2013,2025,4,#009EE0,6,True
party_agfg,AGFG,2005,2005,1,#8C8C8C,99,False
party_appd,APPD,2005,2005,1,#8C8C8C,99,False
party_b,B*,2017,2017,1,#8C8C8C,99,False
party_bge,BGE,2017,2017,1,#8C8C8C,99,False
party_big,BIG,2013,2013,1,#8C8C8C,99,False
party_bp,BP,2005,2025,6,#8C8C8C,99,False
party_bsw,BSW,2025,2025,1,#8C8C8C,99,False
party_bundnis_21_rrp,Bündnis 21/RRP,2013,2013,1,#8C8C8C,99,False
party_bundnis_c,Bündnis C,2021,2025,2,#8C8C8C,99,False
party_bundnis_deutschland,BÜNDNIS DEUTSCHLAND,2025,2025,1,#8C8C8C,99,False
party_bundnis21,BÜNDNIS21,2021,2021,1,#8C8C8C,99,False
party_burgerbewegung,BÜRGERBEWEGUNG,2021,2021,1,#8C8C8C,99,False
party_buso,BüSo,2005,2025,6,#8C8C8C,99,False
party_cdu,CDU,2005,2025,6,#171717,1,True
party_cm,CM,2009,2009,1,#8C8C8C,99,False
party_csu,CSU,2005,2025,6,#008AC5,1,True
party_deutschland,Deutschland,2005,2005,1,#8C8C8C,99,False
party_dib,DiB,2017,2021,2,#8C8C8C,99,False
party_die_frauen,DIE FRAUEN,2005,2013,2,#8C8C8C,99,False
party_die_grauen,Die Grauen,2017,2021,2,#8C8C8C,99,False
party_die_humanisten,Die Humanisten,2017,2021,2,#8C8C8C,99,False
party_die_linke,Die Linke,2005,2025,6,#BE3075,5,True
party_die_partei,Die PARTEI,2005,2025,5,#8C8C8C,99,False
party_die_rechte,DIE RECHTE,2013,2017,2,#8C8C8C,99,False
party_die_violetten,DIE VIOLETTEN,2009,2013,2,#8C8C8C,99,False
party_diebasis,dieBasis,2021,2025,2,#8C8C8C,99,False
party_dkp,DKP,2009,2021,3,#8C8C8C,99,False
party_dm,DM,2017,2017,1,#8C8C8C,99,False
party_du,du.,2017,2021,2,#8C8C8C,99,False
party_dvu,DVU,2009,2009,1,#8C8C8C,99,False
party_familie,FAMILIE,2005,2013,3,#8C8C8C,99,False
party_fdp,FDP,2005,2025,6,#FFED00,4,True
party_freie_wahler,FREIE WÄHLER,2013,2025,4,#8C8C8C,99,False
party_fwd,FWD,2009,2009,1,#8C8C8C,99,False
party_gartenpartei,Gartenpartei,2021,2021,1,#8C8C8C,99,False
party_gesundheitsforschung,Gesundheitsforschung,2017,2017,1,#8C8C8C,99,False
party_graue,GRAUE,2005,2005,1,#8C8C8C,99,False
