district_id,cluster_id
01001,cluster_3
01002,cluster_3
01003,cluster_3
01004,cluster_3
01051,cluster_2
01053,cluster_2
01054,cluster_2
01055,cluster_1
01056,cluster_2
01057,cluster_2
01058,cluster_2
01059,cluster_2
01060,cluster_2
01061,cluster_2
01062,cluster_2
02000,cluster_3
03101,cluster_3
03102,cluster_3
03103,cluster_3
03151,cluster_2
03153,cluster_1
03154,cluster_2
03155,cluster_1
03157,cluster_2
03158,cluster_2
03159,cluster_2
03241,cluster_3
03251,cluster_2
03252,cluster_2
03254,cluster_2
03255,cluster_1
03256,cluster_2
03257,cluster_1
03351,cluster_2
03352,cluster_1
03353,cluster_2
03354,cluster_1
03355,cluster_2
03356,cluster_2
03357,cluster_2
03358,cluster_2
03359,cluster_2
03360,cluster_1
03361,cluster_2
03401,cluster_3
03402,cluster_3
03403,cluster_3
03404,cluster_3
03405,cluster_3
03451,cluster_2
03452,cluster_1
03453,cluster_2
03454,cluster_2
03455,cluster_1
03456,cluster_2
03457,cluster_2
03458,cluster_2
03459,cluster_2
03460,cluster_2
03461,cluster_2
03462,cluster_1
04011,cluster_3
04012,cluster_3
05111,cluster_3
05112,cluster_3
05113,cluster_3
05114,cluster_3
05116,cluster_3
05117,cluster_3
05119,cluster_3
05120,cluster_3
05122,cluster_2
05124,cluster_3
05154,cluster_2
05158,cluster_2
05162,cluster_2
05166,cluster_2
05170,cluster_2
05314,cluster_3
05315,cluster_3
05316,cluster_3
05334,cluster_3
05358,cluster_2
05362,cluster_2
05366,cluster_2
05370,cluster_2
05374,cluster_2
05378,cluster_2
05382,cluster_2
05512,cluster_2
05513,cluster_3
05515,cluster_3
05554,cluster_2
05558,cluster_2
05562,cluster_2
05566,cluster_2
05570,cluster_2
05711,cluster_3
05754,cluster_2
05758,cluster_2
05762,cluster_2
05766,cluster_2
05770,cluster_2
05774,cluster_2
05911,cluster_3
05913,cluster_3
05914,cluster_3
05915,cluster_3
05916,cluster_3
05954,cluster_2
05958,cluster_2
05962,cluster_2
05966,cluster_2
05970,cluster_2
05974,cluster_2
05978,cluster_2
06411,cluster_3
06412,cluster_3
06413,cluster_3
06414,cluster_3
06431,cluster_2
06432,cluster_2
06433,cluster_3
06434,cluster_2
06435,cluster_2
06436,cluster_2
06437,cluster_2
06438,cluster_2
06439,cluster_2
06440,cluster_2
06531,cluster_2
06532,cluster_2
06533,cluster_2
06534,cluster_2
06535,cluster_2
06611,cluster_3
06631,cluster_2
06632,cluster_2
06633,cluster_2
06634,cluster_2
06635,cluster_2
06636,cluster_1
07111,cluster_3
07131,cluster_2
07132,cluster_2
07133,cluster_2
07134,cluster_1
07135,cluster_2
07137,cluster_2
07138,cluster_2
07140,cluster_2
07141,cluster_2
07143,cluster_2
07211,cluster_3
07231,cluster_2
07232,cluster_2
07233,cluster_2
07235,cluster_2
07311,cluster_3
07312,cluster_3
07313,cluster_3
07314,cluster_3
07315,cluster_3
07316,cluster_2
07317,cluster_3
07318,cluster_3
07319,cluster_3
07320,cluster_3
07331,cluster_2
07332,cluster_2
07333,cluster_2
07334,cluster_2
07335,cluster_2
07336,cluster_2
07337,cluster_2
07338,cluster_2
07339,cluster_2
07340,cluster_2
08111,cluster_3
08115,cluster_2
08116,cluster_2
08117,cluster_2
08118,cluster_2
08119,cluster_2
08121,cluster_3
08125,cluster_2
08126,cluster_2
08127,cluster_2
08128,cluster_2
08135,cluster_2
08136,cluster_2
08211,cluster_3
08212,cluster_3
08215,cluster_2
08216,cluster_2
08221,cluster_3
08222,cluster_3
08225,cluster_2
08226,cluster_2
08231,cluster_3
08235,cluster_2
08236,cluster_2
08237,cluster_2
08311,cluster_3
08315,cluster_2
08316,cluster_2
08317,cluster_2
08325,cluster_2
08326,cluster_2
08327,cluster_2
08335,cluster_2
08336,cluster_2
08337,cluster_2
08415,cluster_2
08416,cluster_2
08417,cluster_2
08421,cluster_3
08425,cluster_2
08426,cluster_2
08435,cluster_2
08436,cluster_2
08437,cluster_2
09161,cluster_3
09162,cluster_3
09163,cluster_3
09171,cluster_2
09172,cluster_2
09173,cluster_2
09174,cluster_2
09175,cluster_2
09176,cluster_2
09177,cluster_2
09178,cluster_2
09179,cluster_2
09180,cluster_2
09181,cluster_2
09182,cluster_2
09183,cluster_2
09184,cluster_3
09185,cluster_2
09186,cluster_2
09187,cluster_2
09188,cluster_2
09189,cluster_2
09190,cluster_2
09261,cluster_3
09262,cluster_3
09263,cluster_3
09271,cluster_2
09272,cluster_2
09273,cluster_2
09274,cluster_2
09275,cluster_2
09276,cluster_2
09277,cluster_2
09278,cluster_2
09279,cluster_2
09361,cluster_3
09362,cluster_3
09363,cluster_3
09371,cluster_2
09372,cluster_2
09373,cluster_2
09374,cluster_2
09375,cluster_2
09376,cluster_2
09377,cluster_2
09461,cluster_3
09462,cluster_3
09463,cluster_3
09464,cluster_3
09471,cluster_2
09472,cluster_2
09473,cluster_2
09474,cluster_2
09475,cluster_2
09476,cluster_2
09477,cluster_2
09478,cluster_2
09479,cluster_2
09561,cluster_3
09562,cluster_3
09563,cluster_3
09564,cluster_3
09565,cluster_2
09571,cluster_2
09572,cluster_2
09573,cluster_2
09574,cluster_2
09575,cluster_2
09576,cluster_2
09577,cluster_2
09661,cluster_3
09662,cluster_3
09663,cluster_3
09671,cluster_2
09672,cluster_2
09673,cluster_2
09674,cluster_2
09675,cluster_2
09676,cluster_2
09677,cluster_2
09678,cluster_2
09679,cluster_2
09761,cluster_3
09762,cluster_2
09763,cluster_3
09764,cluster_2
09771,cluster_2
09772,cluster_2
09773,cluster_2
09774,cluster_2
09775,cluster_2
09776,cluster_2
09777,cluster_2
09778,cluster_2
09779,cluster_2
09780,cluster_2
10041,cluster_3
10042,cluster_2
10043,cluster_2
10044,cluster_2
10045,cluster_2
10046,cluster_2
11000,cluster_3
12051,cluster_3
12052,cluster_3
12053,cluster_3
12054,cluster_3
12060,cluster_2
12061,cluster_2
12062,cluster_1
12063,cluster_2
12064,cluster_2
12065,cluster_2
12066,cluster_1
12067,cluster_1
12068,cluster_1
12069,cluster_2
12070,cluster_1
12071,cluster_1
12072,cluster_2
12073,cluster_1
13003,cluster_3
13004,cluster_3
13071,cluster_1
13072,cluster_1
13073,cluster_1
13074,cluster_1
13075,cluster_1
13076,cluster_1
14511,cluster_3
14521,cluster_1
14522,cluster_1
14523,cluster_1
14524,cluster_1
14612,cluster_3
14625,cluster_1
14626,cluster_1
14627,cluster_1
14628,cluster_1
14713,cluster_3
14729,cluster_1
14730,cluster_1
15001,cluster_1
15002,cluster_3
15003,cluster_3
15081,cluster_1
15082,cluster_1
15083,cluster_1
15084,cluster_1
15085,cluster_1
15086,cluster_1
15087,cluster_1
15088,cluster_1
15089,cluster_1
15090,cluster_1
15091,cluster_1
16051,cluster_3
16052,cluster_3
16053,cluster_3
16054,cluster_1
16055,cluster_2
16061,cluster_2
16062,cluster_1
16063,cluster_1
16064,cluster_1
16065,cluster_1
16066,cluster_1
16067,cluster_1
16068,cluster_1
16069,cluster_1
16070,cluster_1
16071,cluster_2
16072,cluster_1
16073,cluster_1
16074,cluster_1
16075,cluster_1
16076,cluster_1
16077,cluster_1
