district_id,election_id,election_year,party_group_id,second_vote_share_percent,value_status,source_dataset
01001,BTW2017,2017,party_group_cdu_csu,27.2,reported,AI005
01001,BTW2017,2017,party_group_spd,24.6,reported,AI005
01001,BTW2017,2017,party_group_fdp,10.3,reported,AI005
01001,BTW2017,2017,party_group_greens,15.1,reported,AI005
01001,BTW2017,2017,party_group_left,11.6,reported,AI005
01001,BTW2017,2017,party_group_afd,7.5,reported,AI005
01002,BTW2017,2017,party_group_cdu_csu,25.9,reported,AI005
01002,BTW2017,2017,party_group_spd,24.1,reported,AI005
01002,BTW2017,2017,party_group_fdp,11.4,reported,AI005
01002,BTW2017,2017,party_group_greens,17.5,reported,AI005
01002,BTW2017,2017,party_group_left,10.7,reported,AI005
01002,BTW2017,2017,party_group_afd,6.9,reported,AI005
01003,BTW2017,2017,party_group_cdu_csu,28.9,reported,AI005
01003,BTW2017,2017,party_group_spd,25.5,reported,AI005
01003,BTW2017,2017,party_group_fdp,10.7,reported,AI005
01003,BTW2017,2017,party_group_greens,12.9,reported,AI005
01003,BTW2017,2017,party_group_left,9.7,reported,AI005
01003,BTW2017,2017,party_group_afd,8.9,reported,AI005
01004,BTW2017,2017,party_group_cdu_csu,31.1,reported,AI005
01004,BTW2017,2017,party_group_spd,25.7,reported,AI005
01004,BTW2017,2017,party_group_fdp,12.1,reported,AI005
01004,BTW2017,2017,party_group_greens,10.5,reported,AI005
01004,BTW2017,2017,party_group_left,7.1,reported,AI005
01004,BTW2017,2017,party_group_afd,10.3,reported,AI005
01051,BTW2017,2017,party_group_cdu_csu,36.7,reported,AI005
01051,BTW2017,2017,party_group_spd,23.4,reported,AI005
01051,BTW2017,2017,party_group_fdp,14.6,reported,AI005
01051,BTW2017,2017,party_group_greens,8.0,reported,AI005
01051,BTW2017,2017,party_group_left,6.2,reported,AI005
01051,BTW2017,2017,party_group_afd,8.6,reported,AI005
01053,BTW2017,2017,party_group_cdu_csu,34.2,reported,AI005
01053,BTW2017,2017,party_group_spd,23.0,reported,AI005
