district_id,feature_id,value,reference_year,unit,source_dataset
01001,age_65_plus_share,20.2,2024,percent,AI002-2-5
01001,age_under_18_share,15.5,2024,percent,AI002-2-5
01001,disposable_income_per_capita,21130.0,2022,eur_per_person,AI016-1
01001,foreign_population_share,17.3,2024,percent,AI002-1-5
01001,gdp_per_capita,53455.0,2023,eur_per_person,AI017-1
01001,manufacturing_employment_share,9.8,2024,percent,AI007-1
01001,migration_balance_per_10000,22.7,2024,per_10000_people,AI002-1-5
01001,minimum_security_rate,13.7,2024,percent,AI-S-03
01001,natural_balance_per_10000,-32.8,2024,per_10000_people,AI002-1-5
01001,population_change_per_10000,-10.9,2024,per_10000_people,AI002-1-5
01001,population_density,1698.0,2024,people_per_km2,AI002-1-5
01001,services_employment_share,85.6,2024,percent,AI007-1
01001,unemployment_rate,8.6,2025,percent,AI008-1-5
01001,workplace_density,971.6,2024,employed_per_1000_working_age,AI007-1
01002,age_65_plus_share,19.5,2024,percent,AI002-2-5
01002,age_under_18_share,14.7,2024,percent,AI002-2-5
01002,disposable_income_per_capita,22476.0,2022,eur_per_person,AI016-1
01002,foreign_population_share,14.0,2024,percent,AI002-1-5
01002,gdp_per_capita,58588.0,2023,eur_per_person,AI017-1
01002,manufacturing_employment_share,9.0,2024,percent,AI007-1
01002,migration_balance_per_10000,63.8,2024,per_10000_people,AI002-1-5
01002,minimum_security_rate,14.2,2024,percent,AI-S-03
01002,natural_balance_per_10000,-27.4,2024,per_10000_people,AI002-1-5
01002,population_change_per_10000,36.4,2024,per_10000_people,AI002-1-5
01002,population_density,2129.5,2024,people_per_km2,AI002-1-5
01002,services_employment_share,87.0,2024,percent,AI007-1
01002,unemployment_rate,8.1,2025,percent,AI008-1-5
01002,workplace_density,1054.6,2024,employed_per_1000_working_age,AI007-1
01003,age_65_plus_share,23.6,2024,percent,AI002-2-5
01003,age_under_18_share,14.9,2024,percent,AI002-2-5
01003,disposable_income_per_capita,23265.0,2022,eur_per_person,AI016-1
01003,foreign_population_share,13.1,2024,percent,AI002-1-5
01003,gdp_per_capita,57499.0,2023,eur_per_person,AI017-1
01003,manufacturing_employment_share,14.3,2024,percent,AI007-1
01003,migration_balance_per_10000,56.6,2024,per_10000_people,AI002-1-5
01003,minimum_security_rate,13.3,2024,percent,AI-S-03
01003,natural_balance_per_10000,-64.6,2024,per_10000_people,AI002-1-5
01003,population_change_per_10000,-7.9,2024,per_10000_people,AI002-1-5
01003,population_density,1012.6,2024,people_per_km2,AI002-1-5
01003,services_employment_share,79.7,2024,percent,AI007-1
01003,unemployment_rate,8.4,2025,percent,AI008-1-5
01003,workplace_density,998.3,2024,employed_per_1000_working_age,AI007-1
01004,age_65_plus_share,23.1,2024,percent,AI002-2-5
01004,age_under_18_share,16.0,2024,percent,AI002-2-5
01004,disposable_income_per_capita,22370.0,2022,eur_per_person,AI016-1
01004,foreign_population_share,13.6,2024,percent,AI002-1-5
01004,gdp_per_capita,55512.0,2023,eur_per_person,AI017-1
01004,manufacturing_employment_share,9.7,2024,percent,AI007-1
01004,migration_balance_per_10000,98.1,2024,per_10000_people,AI002-1-5
01004,minimum_security_rate,16.7,2024,percent,AI-S-03
01004,natural_balance_per_10000,-60.4,2024,per_10000_people,AI002-1-5
01004,population_change_per_10000,43.7,2024,per_10000_people,AI002-1-5
01004,population_density,1113.7,2024,people_per_km2,AI002-1-5
01004,services_employment_share,81.7,2024,percent,AI007-1
01004,unemployment_rate,8.5,2025,percent,AI008-1-5
01004,workplace_density,1083.5,2024,employed_per_1000_working_age,AI007-1
01051,age_65_plus_share,26.3,2024,percent,AI002-2-5
01051,age_under_18_share,15.7,2024,percent,AI002-2-5
01051,disposable_income_per_capita,26763.0,2022,eur_per_person,AI016-1
01051,foreign_population_share,8.3,2024,percent,AI002-1-5
01051,gdp_per_capita,45470.0,2023,eur_per_person,AI017-1
01051,manufacturing_employment_share,11.4,2024,percent,AI007-1
01051,migration_balance_per_10000,72.3,2024,per_10000_people,AI002-1-5
01051,minimum_security_rate,9.4,2024,percent,AI-S-03
