election_id,election_date,state_code,party_id,party,source_party,votes,vote_share_percent,previous_votes,previous_vote_share_percent,change_percentage_points
BTW2005,2005-09-18,01,party_cdu,CDU,CDU,624510,36.412263,625100,36.02967,0.382593
BTW2005,2005-09-18,01,party_die_linke,Die Linke,Die Linke.,78755,4.591836,22579,1.301414,3.290422
BTW2005,2005-09-18,01,party_familie,FAMILIE,FAMILIE,20259,1.181208,,,
BTW2005,2005-09-18,01,party_fdp,FDP,FDP,173320,10.10548,139417,8.035752,2.069728
BTW2005,2005-09-18,01,party_grune,GRÜNE,GRÜNE,144712,8.437481,162425,9.361893,-0.924412
BTW2005,2005-09-18,01,party_mlpd,MLPD,MLPD,1131,0.065943,,,
BTW2005,2005-09-18,01,party_npd,NPD,NPD,17061,0.994747,4701,0.270957,0.72379
BTW2005,2005-09-18,01,party_spd,SPD,SPD,655361,38.211041,743838,42.87352,-4.662479
BTW2005,2005-09-18,02,party_appd,APPD,APPD,1319,0.139819,,,
BTW2005,2005-09-18,02,party_cdu,CDU,CDU,272418,28.877294,270318,28.057644,0.81965
BTW2005,2005-09-18,02,party_die_linke,Die Linke,Die Linke.,59463,6.303293,20253,2.102159,4.201134
BTW2005,2005-09-18,02,party_die_partei,Die PARTEI,Die PARTEI,2506,0.265645,,,
BTW2005,2005-09-18,02,party_fdp,FDP,FDP,84593,8.967164,65574,6.80625,2.160914
BTW2005,2005-09-18,02,party_grune,GRÜNE,GRÜNE,140751,14.920116,156010,16.19305,-1.272934
BTW2005,2005-09-18,02,party_mlpd,MLPD,MLPD,441,0.046748,,,
BTW2005,2005-09-18,02,party_npd,NPD,NPD,9463,1.003112,1956,0.203023,0.800089
BTW2005,2005-09-18,02,party_spd,SPD,SPD,365546,38.7492,404738,42.009761,-3.260561
BTW2005,2005-09-18,02,party_tierschutzpartei,Tierschutzpartei,Die Tierschutzpartei,6864,0.727609,,,
BTW2005,2005-09-18,03,party_buso,BüSo,BüSo,2188,0.045893,1278,0.026371,0.019522
