election_id,election_date,state_code,measure,value,share_percent
BTW2005,2005-09-18,01,eligible_voters,2198777,
BTW2005,2005-09-18,01,voters,1739113,79.09456
BTW2005,2005-09-18,02,eligible_voters,1230717,
BTW2005,2005-09-18,02,voters,954153,77.528221
BTW2005,2005-09-18,03,eligible_voters,6083041,
BTW2005,2005-09-18,03,voters,4828902,79.383026
BTW2005,2005-09-18,04,eligible_voters,486475,
BTW2005,2005-09-18,04,voters,367282,75.498638
BTW2005,2005-09-18,05,eligible_voters,13257047,
BTW2005,2005-09-18,05,voters,10385230,78.337431
BTW2005,2005-09-18,06,eligible_voters,4366988,
BTW2005,2005-09-18,06,voters,3437326,78.711597
BTW2005,2005-09-18,07,eligible_voters,3084171,
BTW2005,2005-09-18,07,voters,2427981,78.723942
BTW2005,2005-09-18,08,eligible_voters,7529193,
BTW2005,2005-09-18,08,voters,5923917,78.679309
BTW2005,2005-09-18,09,eligible_voters,9222560,
BTW2005,2005-09-18,09,voters,7181842,77.872543
BTW2005,2005-09-18,10,eligible_voters,818478,
BTW2005,2005-09-18,10,voters,650089,79.42657
BTW2005,2005-09-18,11,eligible_voters,2438902,
BTW2005,2005-09-18,11,voters,1887397,77.38716
BTW2005,2005-09-18,12,eligible_voters,2128352,
BTW2005,2005-09-18,12,voters,1594983,74.939813
BTW2005,2005-09-18,13,eligible_voters,1418790,
BTW2005,2005-09-18,13,voters,1010887,71.249938
BTW2005,2005-09-18,14,eligible_voters,3561357,
BTW2005,2005-09-18,14,voters,2695532,75.68834
BTW2005,2005-09-18,15,eligible_voters,2088108,
BTW2005,2005-09-18,15,voters,1481671,70.957585
BTW2005,2005-09-18,16,eligible_voters,1957755,
BTW2005,2005-09-18,16,voters,1477829,75.485901
BTW2009,2009-09-27,01,eligible_voters,2234720,
BTW2009,2009-09-27,01,voters,1644384,73.583447
BTW2009,2009-09-27,02,eligible_voters,1256634,
BTW2009,2009-09-27,02,voters,896053,71.305806
BTW2009,2009-09-27,03,eligible_voters,6112110,
BTW2009,2009-09-27,03,voters,4482349,73.335542
BTW2009,2009-09-27,04,eligible_voters,487978,
BTW2009,2009-09-27,04,voters,343027,70.295587
