year,state_code,foreign_population_count,source_register
2018,01,254195,Central Register of Foreigners (AZR)
2019,01,263360,Central Register of Foreigners (AZR)
2020,01,272965,Central Register of Foreigners (AZR)
2021,01,286270,Central Register of Foreigners (AZR)
2022,01,331105,Central Register of Foreigners (AZR)
2023,01,346690,Central Register of Foreigners (AZR)
2024,01,350665,Central Register of Foreigners (AZR)
2025,01,352575,Central Register of Foreigners (AZR)
2018,02,310540,Central Register of Foreigners (AZR)
2019,02,317560,Central Register of Foreigners (AZR)
2020,02,323450,Central Register of Foreigners (AZR)
2021,02,328375,Central Register of Foreigners (AZR)
2022,02,367335,Central Register of Foreigners (AZR)
2023,02,376910,Central Register of Foreigners (AZR)
2024,02,390445,Central Register of Foreigners (AZR)
2025,02,387845,Central Register of Foreigners (AZR)
2018,03,813080,Central Register of Foreigners (AZR)
2019,03,841165,Central Register of Foreigners (AZR)
2020,03,857895,Central Register of Foreigners (AZR)
2021,03,895490,Central Register of Foreigners (AZR)
2022,03,1045140,Central Register of Foreigners (AZR)
2023,03,1085315,Central Register of Foreigners (AZR)
2024,03,1093110,Central Register of Foreigners (AZR)
2025,03,1084595,Central Register of Foreigners (AZR)
2018,04,131365,Central Register of Foreigners (AZR)
2019,04,135600,Central Register of Foreigners (AZR)
2020,04,137205,Central Register of Foreigners (AZR)
2021,04,140330,Central Register of Foreigners (AZR)
2022,04,154915,Central Register of Foreigners (AZR)
2023,04,159000,Central Register of Foreigners (AZR)
2024,04,161710,Central Register of Foreigners (AZR)
2025,04,164135,Central Register of Foreigners (AZR)
2018,05,2648645,Central Register of Foreigners (AZR)
2019,05,2710795,Central Register of Foreigners (AZR)
2020,05,2753530,Central Register of Foreigners (AZR)
2021,05,2815800,Central Register of Foreigners (AZR)
2022,05,3139895,Central Register of Foreigners (AZR)
2023,05,3232720,Central Register of Foreigners (AZR)
2024,05,3273545,Central Register of Foreigners (AZR)
2025,05,3265705,Central Register of Foreigners (AZR)
2018,06,1090460,Central Register of Foreigners (AZR)
2019,06,1121230,Central Register of Foreigners (AZR)
2020,06,1138795,Central Register of Foreigners (AZR)
2021,06,1163800,Central Register of Foreigners (AZR)
2022,06,1290565,Central Register of Foreigners (AZR)
2023,06,1335380,Central Register of Foreigners (AZR)
2024,06,1349460,Central Register of Foreigners (AZR)
2025,06,1360875,Central Register of Foreigners (AZR)
2018,07,481495,Central Register of Foreigners (AZR)
2019,07,496890,Central Register of Foreigners (AZR)
2020,07,512760,Central Register of Foreigners (AZR)
2021,07,532230,Central Register of Foreigners (AZR)
2022,07,599755,Central Register of Foreigners (AZR)
2023,07,618370,Central Register of Foreigners (AZR)
2024,07,628690,Central Register of Foreigners (AZR)
2025,07,626355,Central Register of Foreigners (AZR)
2018,08,1777350,Central Register of Foreigners (AZR)
2019,08,1821815,Central Register of Foreigners (AZR)
2020,08,1840040,Central Register of Foreigners (AZR)
2021,08,1885925,Central Register of Foreigners (AZR)
2022,08,2089960,Central Register of Foreigners (AZR)
2023,08,2168475,Central Register of Foreigners (AZR)
2024,08,2188075,Central Register of Foreigners (AZR)
2025,08,2192400,Central Register of Foreigners (AZR)
2018,09,1858425,Central Register of Foreigners (AZR)
2019,09,1921955,Central Register of Foreigners (AZR)
2020,09,1964285,Central Register of Foreigners (AZR)
2021,09,2051505,Central Register of Foreigners (AZR)
2022,09,2293085,Central Register of Foreigners (AZR)
2023,09,2364850,Central Register of Foreigners (AZR)
2024,09,2392900,Central Register of Foreigners (AZR)
2025,09,2386525,Central Register of Foreigners (AZR)
2018,10,123265,Central Register of Foreigners (AZR)
2019,10,126095,Central Register of Foreigners (AZR)
2020,10,128425,Central Register of Foreigners (AZR)
2021,10,134350,Central Register of Foreigners (AZR)
2022,10,153455,Central Register of Foreigners (AZR)
2023,10,160665,Central Register of Foreigners (AZR)
2024,10,163935,Central Register of Foreigners (AZR)
2025,10,164395,Central Register of Foreigners (AZR)
2018,11,795390,Central Register of Foreigners (AZR)
2019,11,812705,Central Register of Foreigners (AZR)
2020,11,823985,Central Register of Foreigners (AZR)
