reference_date,state_code,population_group,population_count,share_percent,share_of
2025-12-31,01,eu_member_country,87950,28.4,non_german_population
2025-12-31,01,german,2648450,,
2025-12-31,01,non_german,310069,10.5,total_population
2025-12-31,01,total,2958519,,
2025-12-31,02,eu_member_country,98223,27.1,non_german_population
2025-12-31,02,german,1506441,,
2025-12-31,02,non_german,363032,19.4,total_population
2025-12-31,02,total,1869473,,
2025-12-31,03,eu_member_country,313864,33.5,non_german_population
2025-12-31,03,german,7062594,,
2025-12-31,03,non_german,938232,11.7,total_population
2025-12-31,03,total,8000826,,
2025-12-31,04,eu_member_country,38978,23.6,non_german_population
2025-12-31,04,german,541979,,
2025-12-31,04,non_german,164936,23.3,total_population
2025-12-31,04,total,706915,,
2025-12-31,05,eu_member_country,895789,31.5,non_german_population
2025-12-31,05,german,15146154,,
2025-12-31,05,non_german,2840060,15.8,total_population
2025-12-31,05,total,17986214,,
2025-12-31,06,eu_member_country,407092,34.8,non_german_population
2025-12-31,06,german,5108272,,
2025-12-31,06,non_german,1170322,18.6,total_population
2025-12-31,06,total,6278594,,
2025-12-31,07,eu_member_country,221775,38.5,non_german_population
2025-12-31,07,german,3547139,,
2025-12-31,07,non_german,575883,14.0,total_population
2025-12-31,07,total,4123022,,
2025-12-31,08,eu_member_country,818312,39.9,non_german_population
2025-12-31,08,german,9188211,,
2025-12-31,08,non_german,2050550,18.2,total_population
2025-12-31,08,total,11238761,,
2025-12-31,09,eu_member_country,845270,41.1,non_german_population
2025-12-31,09,german,11188833,,
2025-12-31,09,non_german,2056670,15.5,total_population
2025-12-31,09,total,13245503,,
2025-12-31,10,eu_member_country,55751,36.2,non_german_population
2025-12-31,10,german,853186,,
2025-12-31,10,non_german,154156,15.3,total_population
2025-12-31,10,total,1007342,,
2025-12-31,11,eu_member_country,229712,27.6,non_german_population
2025-12-31,11,german,2867364,,
2025-12-31,11,non_german,833213,22.5,total_population
2025-12-31,11,total,3700577,,
2025-12-31,12,eu_member_country,52727,28.0,non_german_population
2025-12-31,12,german,2363542,,
2025-12-31,12,non_german,188347,7.4,total_population
2025-12-31,12,total,2551889,,
2025-12-31,13,eu_member_country,28102,27.3,non_german_population
2025-12-31,13,german,1470746,,
2025-12-31,13,non_german,102939,6.5,total_population
2025-12-31,13,total,1573685,,
2025-12-31,14,eu_member_country,89055,26.2,non_german_population
2025-12-31,14,german,3687106,,
2025-12-31,14,non_german,339493,8.4,total_population
2025-12-31,14,total,4026599,,
2025-12-31,15,eu_member_country,38521,22.9,non_german_population
2025-12-31,15,german,1951831,,
2025-12-31,15,non_german,168421,7.9,total_population
2025-12-31,15,total,2120252,,
2025-12-31,16,eu_member_country,48268,27.6,non_german_population
2025-12-31,16,german,1904374,,
2025-12-31,16,non_german,174572,8.4,total_population
2025-12-31,16,total,2078946,,
