state_code,year,indicator,value,unit,source
01,2023,area_km2,15804.3,km2,Bundeswahlleiterin structural data 2025
01,2023,population_thousands,2953.2,thousand_people,Bundeswahlleiterin structural data 2025
01,2023,foreign_population_share,10.0,percent,Bundeswahlleiterin structural data 2025
01,2023,population_density,186.9,people_per_km2,Bundeswahlleiterin structural data 2025
01,2023,natural_population_change,-5.9,per_1000_people,Bundeswahlleiterin structural data 2025
01,2022,net_migration,16.5,per_1000_people,Bundeswahlleiterin structural data 2025
01,2023,age_under_18_share,16.5,percent,Bundeswahlleiterin structural data 2025
01,2023,age_60_74_share,19.2,percent,Bundeswahlleiterin structural data 2025
01,2023,age_75_plus_share,12.2,percent,Bundeswahlleiterin structural data 2025
01,2021,disposable_income_per_capita,24888,eur_per_person,Bundeswahlleiterin structural data 2025
01,2021,gdp_per_capita,35903,eur_per_person,Bundeswahlleiterin structural data 2025
01,2023,employees_subject_to_social_insurance,356.4,per_1000_people,Bundeswahlleiterin structural data 2025
01,2024,social_benefit_recipients,69.4,per_1000_people,Bundeswahlleiterin structural data 2025
01,2024,unemployment_rate,5.7,percent,Bundeswahlleiterin structural data 2025
13,2023,area_km2,23294.8,km2,Bundeswahlleiterin structural data 2025
13,2023,population_thousands,1578.0,thousand_people,Bundeswahlleiterin structural data 2025
13,2023,foreign_population_share,6.0,percent,Bundeswahlleiterin structural data 2025
13,2023,population_density,67.7,people_per_km2,Bundeswahlleiterin structural data 2025
13,2023,natural_population_change,-9.1,per_1000_people,Bundeswahlleiterin structural data 2025
13,2022,net_migration,19.8,per_1000_people,Bundeswahlleiterin structural data 2025
13,2023,age_under_18_share,15.6,percent,Bundeswahlleiterin structural data 2025
13,2023,age_60_74_share,23.8,percent,Bundeswahlleiterin structural data 2025
13,2023,age_75_plus_share,12.2,percent,Bundeswahlleiterin structural data 2025
13,2021,disposable_income_per_capita,21880,eur_per_person,Bundeswahlleiterin structural data 2025
13,2021,gdp_per_capita,30957,eur_per_person,Bundeswahlleiterin structural data 2025
13,2023,employees_subject_to_social_insurance,368.2,per_1000_people,Bundeswahlleiterin structural data 2025
13,2024,social_benefit_recipients,73.2,per_1000_people,Bundeswahlleiterin structural data 2025
13,2024,unemployment_rate,7.7,percent,Bundeswahlleiterin structural data 2025
02,2023,area_km2,755.1,km2,Bundeswahlleiterin structural data 2025
02,2023,population_thousands,1851.6,thousand_people,Bundeswahlleiterin structural data 2025
02,2023,foreign_population_share,18.9,percent,Bundeswahlleiterin structural data 2025
02,2023,population_density,2452.2,people_per_km2,Bundeswahlleiterin structural data 2025
02,2023,natural_population_change,-0.7,per_1000_people,Bundeswahlleiterin structural data 2025
02,2022,net_migration,20.8,per_1000_people,Bundeswahlleiterin structural data 2025
02,2023,age_under_18_share,17.1,percent,Bundeswahlleiterin structural data 2025
02,2023,age_60_74_share,14.4,percent,Bundeswahlleiterin structural data 2025
02,2023,age_75_plus_share,9.4,percent,Bundeswahlleiterin structural data 2025
02,2021,disposable_income_per_capita,26158,eur_per_person,Bundeswahlleiterin structural data 2025
02,2021,gdp_per_capita,70620,eur_per_person,Bundeswahlleiterin structural data 2025
02,2023,employees_subject_to_social_insurance,573.5,per_1000_people,Bundeswahlleiterin structural data 2025
02,2024,social_benefit_recipients,106.7,per_1000_people,Bundeswahlleiterin structural data 2025
02,2024,unemployment_rate,8.0,percent,Bundeswahlleiterin structural data 2025
03,2023,area_km2,47709.9,km2,Bundeswahlleiterin structural data 2025
03,2023,population_thousands,8008.1,thousand_people,Bundeswahlleiterin structural data 2025
03,2023,foreign_population_share,11.4,percent,Bundeswahlleiterin structural data 2025
03,2023,population_density,167.9,people_per_km2,Bundeswahlleiterin structural data 2025
03,2023,natural_population_change,-4.7,per_1000_people,Bundeswahlleiterin structural data 2025
03,2022,net_migration,18.7,per_1000_people,Bundeswahlleiterin structural data 2025
03,2023,age_under_18_share,17.1,percent,Bundeswahlleiterin structural data 2025
03,2023,age_60_74_share,19.1,percent,Bundeswahlleiterin structural data 2025
03,2023,age_75_plus_share,11.2,percent,Bundeswahlleiterin structural data 2025
03,2021,disposable_income_per_capita,23375,eur_per_person,Bundeswahlleiterin structural data 2025
03,2021,gdp_per_capita,39390,eur_per_person,Bundeswahlleiterin structural data 2025
03,2023,employees_subject_to_social_insurance,390.5,per_1000_people,Bundeswahlleiterin structural data 2025
03,2024,social_benefit_recipients,69.6,per_1000_people,Bundeswahlleiterin structural data 2025
03,2024,unemployment_rate,5.8,percent,Bundeswahlleiterin structural data 2025
04,2023,area_km2,419.6,km2,Bundeswahlleiterin structural data 2025
04,2023,population_thousands,702.7,thousand_people,Bundeswahlleiterin structural data 2025
04,2023,foreign_population_share,22.3,percent,Bundeswahlleiterin structural data 2025
04,2023,population_density,1674.5,people_per_km2,Bundeswahlleiterin structural data 2025
04,2023,natural_population_change,-2.7,per_1000_people,Bundeswahlleiterin structural data 2025
04,2022,net_migration,15.3,per_1000_people,Bundeswahlleiterin structural data 2025
04,2023,age_under_18_share,17.3,percent,Bundeswahlleiterin structural data 2025
