feature_id,pc1,pc2,pc3,pc4
population_density,0.4063322640,0.2311177743,-0.0294820913,0.2321645512
population_change_per_10000,0.3434746977,-0.1870199530,0.4216427364,-0.1908150390
foreign_population_share,0.4382854436,0.0389445237,-0.1073157331,0.2618857202
migration_balance_per_10000,0.1620319852,0.0388548401,0.6108626118,-0.3958257545
age_under_18_share,0.1295890280,-0.4287488087,0.1232374479,0.4877146186
age_65_plus_share,-0.4057716658,0.2218473962,-0.0193976682,-0.2838750821
workplace_density,0.3518368259,0.1615824808,-0.3346969987,-0.4193899924
manufacturing_employment_share,-0.0866129570,-0.3275300028,-0.4512840583,-0.0962004795
unemployment_rate,0.0802028803,0.5480282887,0.0505244265,0.2384396198
disposable_income_per_capita,0.0805452441,-0.4917000965,-0.0084020630,-0.1944402034
gdp_per_capita,0.4158314241,0.0071510839,-0.3206430716,-0.2935532820
